Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
2 Caxton Street Westminster Borough London SW1H 0QW United Kingdom,231,9/8/15,8.9,St Ermin s Hotel Autograph Collection, Kazakhstan , Room is quite small,5,857, Good location suitable for 2 3 day traveling,9,15,7.5,"[' Leisure trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 2 nights ']",695 day,51.498905,-0.1339093
2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,444,7/23/16,7.0,Park Lane Mews Hotel, Kazakhstan , Could do with being updated Rooms were a bit small ,12,2061, Good breakfast ,4,26,7.9,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",376 day,51.5059334,-0.1489418
2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,687,4/17/17,8.9,The Montcalm Marble Arch, Kazakhstan , The bathroom lighting was particularly poor It was difficult to shave or put on make up ,18,2752, The location was great Easy to Oxford street Baker street etc Also very short walk to the underground train ,21,6,8.8,"[' Couple ', ' Deluxe Double Room ', ' Stayed 5 nights ']",108 day,51.5150522,-0.159239
20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,197,8/9/16,9.2,The Hari London, Kazakhstan , too expensive breakfast but it is not really buffet,10,635, clean rooms,3,11,9.6,"[' Business trip ', ' Solo traveler ', ' Premium King Room ', ' Stayed 4 nights ']",359 day,51.4973203,-0.1562558
20 Rue Jean Rey 15th arr 75015 Paris France,333,7/25/16,8.0,Mercure Paris Centre Tour Eiffel, Kazakhstan , It is a little expensive ,7,2611, Location is perfect for Eiffel Tower ,8,10,9.6,"[' Leisure trip ', ' Family with young children ', ' Standard Room with Double Bed and Sofa Bed ', ' Stayed 2 nights ']",374 day,48.8548641,2.2923181
20 Rue La Fayette 9th arr 75009 Paris France,90,8/23/15,8.4,Banke H tel, Kazakhstan , Very small room not comfortable for living we couldn t put our closes because wardrobe was very small and bathrobes were put on the bed,26,688,No Positive,0,10,5.4,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",711 day,48.8735736,2.335965
202 rue de Rivoli 1st arr 75001 Paris France,297,6/29/17,8.0,Saint James Albany Paris Hotel Spa, Kazakhstan , Do not go there if you are not Parisian The room for 500 Euros for a night does not cost it if the hotel discriminates you in any way Service was horrible even the restaurant at the hotel refused to receive an order for a dinner Plus even cleaning personal was rushing us to leave the room to clean it I am shocked with this service I do not recommend this hotel It was the most expensive and the worst hotel I have ever been ,87,2868, The location is good It was the reason for booking the room ,14,2,3.8,"[' Business trip ', ' Solo traveler ', ' Family Room with Spa access ', ' Stayed 2 nights ']",35 days,48.8642689,2.3308179
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,9/30/16,7.5,Hilton London Metropole, Kazakhstan , Service was very poor,5,6977,No Positive,0,3,5.0,"[' Family with older children ', ' Superior Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",307 day,51.5195688,-0.170521
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,11/5/15,7.5,Hilton London Metropole, Kazakhstan ,No Negative,0,6977, Great friendly atmosphere,4,1,10.0,"[' Business trip ', ' Solo traveler ', ' Twin Hilton Guest Room ', ' Stayed 2 nights ']",637 day,51.5195688,-0.170521
225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,140,7/4/16,7.4,Best Western Seraphine Kensington Olympia, Kazakhstan , Bathroom was extremely tight Had to sit down to use sink due to it was not very wide ,20,895, Great customer service Manager quickly resolved a billing issue I encountered upon registration Hotel clerk was very friendly and helpful Location was great It was close by to many eateries shops and even a Starbucks ,37,10,7.5,"[' Family with young children ', ' Executive Double Room ', ' Stayed 1 night ']",395 day,51.4992791,-0.1973593
24 Ludgate Hill City of London London EC4M 7DR United Kingdom,918,5/8/16,8.4,Club Quarters Hotel St Paul s, Kazakhstan , The location near business district has a disadvantages like a traffic on Ludgate hill during rush our poor view from a window however there was no time to stay in the room ,34,4117, That was our second time at CQ first was Trafalgar which is perfectly located CQ St Paul was very convenient for us We liked helpful and friendly staff good location and cleanliness and lots of restaurants within walking distance ,41,12,9.2,"[' Business trip ', ' Couple ', ' Small Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",452 day,51.5139298,-0.101126
24 rue Bassano 16th arr 75016 Paris France,88,5/11/17,7.9,Hotel Elys es Bassano, Kazakhstan ,No Negative,0,652, The location was very good But rooms were a bit smaller than I expect Very clean and,18,1,7.5,"[' Business trip ', ' Couple ', ' Superior Room ', ' Stayed 3 nights ']",84 days,48.8689307,2.2974503
24 Rue d Amsterdam 9th arr 75009 Paris France,91,8/21/16,8.7,Phileas Hotel, Kazakhstan , Breakfast,2,1000, Location and comfort,4,1,7.5,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",347 day,48.8768854,2.3270623
25 Boulevard Auguste Blanqui 13th arr 75013 Paris France,13,11/4/16,7.9,Mercure Paris Place d Italie, Kazakhstan , Small room fair breakfast expensive rates no restaurant,9,192, Good location near to metro station,7,12,6.3,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 7 nights ']",272 day,48.830196,2.3529539
27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,1243,5/19/16,8.1,Park Grand Paddington Court, Kazakhstan ,No Negative,0,6608, Perfect location very friendly staff comfortable and clean rooms Also quite late check out time 12 pm was a big plus for me since I had a flight in the evening Was pleased with discount provided for early payment for breakfast ,43,4,10.0,"[' Solo traveler ', ' Deluxe Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",441 day,51.5135555,-0.180002
27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,1243,6/29/17,8.1,Park Grand Paddington Court, Kazakhstan , Rooms are very small,5,6608,No Positive,0,8,6.3,"[' Business trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 3 nights ']",35 days,51.5135555,-0.180002
27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,1243,4/30/16,8.1,Park Grand Paddington Court, Kazakhstan , Room size,3,6608, Service and friendly attitude of staff,7,6,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",460 day,51.5135555,-0.180002
3 avenue Mac Mahon 17th arr 75017 Paris France,117,11/12/16,8.4,Maison Albar H tel Paris Champs Elys es ex Mac Mahon , Kazakhstan , I would like better room service for food ,10,774,No Positive,0,2,8.8,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",264 day,48.8753837,2.2944651
3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,232,11/14/16,8.5,Novotel London Paddington, Kazakhstan , Slow check in,4,1187, The room was clean location was good,8,1,6.3,"[' Business trip ', ' Solo traveler ', ' Superior Room with Queen size bed and Sofa Bed ', ' Stayed 1 night ']",262 day,51.519032,-0.1825943
3 Place du G n ral Koenig 17th arr 75017 Paris France,429,8/30/16,7.1,Hyatt Regency Paris Etoile, Kazakhstan , The concierge told incorrect info about currency exchange options and in general was not pleasant to deal with He really should be replaced Be aware that an exchange bureau with a good rate is right in the same complex as the hotel at the minus 1 floor Don t use either the hotel or the bureaus on Champs Elisee they will rob a 20 mark up from you My shower was half broken and I had to repair it every other time I took it but decided not to ask for another room my colleague asked to change her room twice due to some problems But the hotel is currently undergoing rennovation hopefully they will fix those problems ,120,3973, Simple but high quality breakfast A quiet and clean district 20 min walk to the Arc of Triumph where you can catch a couple of hop on hop offs at the opposite sites from the Arc to see the city I took the L Open Bus good tours along four routes Nice reception personnel ,56,6,7.5,"[' Business trip ', ' Group ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",338 day,48.8802782,2.2843852
3 Place du G n ral Koenig 17th arr 75017 Paris France,429,8/11/15,7.1,Hyatt Regency Paris Etoile, Kazakhstan , Horrible small rooms ,5,3973, View to Eiffel Tower is beautiful ,8,8,4.6,"[' Leisure trip ', ' Couple ', ' Eiffel Tower View Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",723 day,48.8802782,2.2843852
3 rue Lepic 18th arr 75018 Paris France,45,9/28/16,8.3,Hotel Le Squara, Kazakhstan , Rooms are very small but that was expected for an older Parisian hotel,14,776, Excellent location for La Ciagle Very pleasant staff,9,1,8.3,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 3 nights ']",309 day,48.884165,2.3328261
3 Rue Pergolese 16th arr 75116 Paris France,126,10/14/15,8.2,L Hotel Pergol se Paris, Kazakhstan , The receptionist could be more friendly and at least reply to Hi ,14,1281, Clean comfortable good location,5,15,6.7,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 4 nights ']",659 day,48.8756618,2.2863468
30 Rue Duret 16th arr 75016 Paris France,16,4/5/17,8.4,Duret, Kazakhstan , Pressing services were not available when needed Iron board and iron were in a terrible condition I destroyed my clothes ,22,167,No Positive,0,1,6.3,"[' Business trip ', ' Solo traveler ', ' Deluxe Room with 1 Double Bed ', ' Stayed 2 nights ']",120 day,48.8752553,2.286653
31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,378,5/4/17,8.7,Radisson Blu Edwardian Hampshire, Kazakhstan , Warning This hotel is undergoing major renovation Expect stale breakfast in a paper bag heavy construction noise from 7AM intermittent lifts operation and a lot of noisy disagreements and complaints from customers at reception Avoid ,37,1543,No Positive,0,12,5.4,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",91 days,51.509963,-0.129797
31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,365,3/24/16,8.1,The Marble Arch London, Kazakhstan , 1 Even though the shampoo and conditioner were Elemis they made hair dull and hard to comb 2 At the check out any of reception staff didn t help with luggage and taxi even though they saw we had heavy bags The door man just disappeared and never showed off 3 Cleaning staff didn t provided toilet paper for several days and we were used to call reception 4 Safety box didn t work properly and everytime we used it it was a feeling that we might not open it again 5 My mom had a birthday during our stay but hotel didn t mentioned it Maybe it s not crutial but those little details make huge difference and emotions overall stay I was staying that hotel for the second time but not sure if i would stay with them again For that price I would find some better options ,152,1567, Good location nice room clean bed,7,10,7.1,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double Room ', ' Stayed 4 nights ']",497 day,51.5151247,-0.1600656
31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,365,5/14/16,8.1,The Marble Arch London, Kazakhstan ,No Negative,0,1567, Great location clean rooms good services liked welcome fruit plate,11,2,10.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",446 day,51.5151247,-0.1600656
